word,pos,definition
abbey,noun,a monastery ruled by an abbot
abide,verb,dwell; inhabit or live in
abound,verb,be abundant or plentiful; exist in large quantities
absence,noun,the state of being absent
absorb,verb,assimilate or take in
abstinence,noun,practice of refraining from indulging an appetite especially alcohol
absurd,adj,inconsistent with reason or logic or common sense
abundant,adj,present in great quantity
abusive,adj,characterized by physical or psychological maltreatment
academic,adj,associated with school or learning
academy,noun,a school for special training
accept,verb,consider or hold as true
access,verb,reach or gain access to
accessible,adj,easily obtained
acclaim,noun,enthusiastic approval
accommodate,verb,provide with something desired or needed
accompany,verb,go or travel along with
accomplish,verb,to gain with effort
account,verb,furnish a justifying analysis or explanation
accurate,adj,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
accusation,noun,an assertion that someone is guilty of a fault or offence
accuse,verb,"blame for, make a claim of wrongdoing or misbehavior against"
acid,adj,"biting, sarcastic, or scornful"
acknowledge,verb,declare to be true or admit the existence or reality or truth of
acquire,verb,come into the possession of something concrete or abstract
acquisition,noun,something acquired or received
adamant,adj,"impervious to pleas, persuasion, requests, reason"
adjacent,adj,having a common boundary or edge; abutting; touching
administrator,noun,someone who manages a government agency or department
advent,noun,arrival that has been awaited (especially of something momentous)
adverse,adj,contrary to your interests or welfare
advisory,noun,an announcement that usually advises or warns the public of some threat
advocacy,noun,active support of an idea or cause etc.; especially the act of pleading or arguing for something
advocate,verb,"speak, plead, or argue in favor of"
affect,noun,the conscious subjective aspect of feeling or emotion
affirmative,adj,affirming or giving assent
aggression,noun,violent action that is hostile and usually unprovoked
airy,adj,not practical or realizable; speculative
album,noun,a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc
alcohol,noun,a liquor or brew containing alcohol as the active agent
alien,adj,being or from or characteristic of another place or part of the world
allegiance,noun,the loyalty that citizens owe to their country (or subjects to their sovereign)
alley,noun,a narrow street with walls on both sides
alliance,noun,a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim
ally,noun,an associate who provides cooperation or assistance
altar,noun,a raised structure on which gifts or sacrifices to a god are made
alter,verb,cause to change; make different; cause a transformation
alternate,adj,serving or used in place of another
alternative,adj,serving or used in place of another
altitude,noun,elevation especially above sea level or above the earth's surface
amateur,adj,lacking professional skill or expertise
ambiguous,adj,having more than one possible meaning
ambitious,adj,having a strong desire for success or achievement
ambivalent,adj,uncertain or unable to decide about what course to follow
analogy,noun,drawing a comparison in order to show a similarity in some respect
analyst,noun,someone who is skilled at analyzing data
analyze,verb,break down into components or essential features
anchor,verb,fix firmly and stably
android,noun,a robot designed to look and behave like a human being
annual,adj,occurring or payable every year
